Asset Details,,,,,Heat Map Detail,,,Asset Property Values,,
Unique Identifier,Name,Location,Section,Monitor Class,X,Y,Symbol,Pump Volume,Well depth (mBTOC),Pump Install Depth (mBTOC)
SNGWG065,Gas well,Suntown,Well Station G,Gas Extraction,536295.685,6909245.01,G065,,,
SNGWG066,Gas well,Suntown,Well Station G,Gas Extraction,536298.248,6909276.66,G066,,,
SNGWG067,Gas well,Suntown,Well Station G,Gas Extraction,536299.918,6909302.22,G067,,,
SNGWH057,Gas well,Suntown,Well Station H,Gas Extraction,536290.597,6909119.64,H057,,,
SNGWH058,Gas well,Suntown,Well Station H,Gas Extraction,536321.017,6909126.72,H058,,,
SNGWH059,Gas well,Suntown,Well Station H,Gas Extraction,536271.559,6909359.74,H059,,,
SNGWH068,Gas well,Suntown,Well Station H,Gas Extraction,536300.812,6909325.18,H068,,,
SNGWH069,Gas well,Suntown,Well Station H,Gas Extraction,536296.915,6909348.55,H069,,,
SNGWH070,Gas well,Suntown,Well Station H,Gas Extraction,536297.122,6909371.31,H070,,,
SNGWH071,Gas well,Suntown,Well Station H,Gas Extraction,536295.929,6909392.64,H071,,,
SNGWH072,Gas well,Suntown,Well Station H,Gas Extraction,536309.85,6909447.18,H072,,,
SNGWH073,Gas well,Suntown,Well Station H,Gas Extraction,536374.199,6909074.6,H073,,,
SNGWJ001,Gas well,Suntown,Well Station J,Gas Extraction,536491.274,6909481.53,J001,,,
SNGWJ002,Gas well,Suntown,Well Station J,Gas Extraction,536529.068,6909474.41,J002,,,
SNGWJ003,Gas well,Suntown,Well Station J,Gas Extraction,536396.216,6909483.64,J003,,,
SNGWJ004,Gas well,Suntown,Well Station J,Gas Extraction,536434.023,6909470.38,J004,,,
SNGWJ005,Gas well,Suntown,Well Station J,Gas Extraction,536471.446,6909456.03,J005,,,
SNGWJ006,Gas well,Suntown,Well Station J,Gas Extraction,536508.813,6909441.59,J006,,,
SNGWJ007,Gas well,Suntown,Well Station J,Gas Extraction,536549.174,6909426.03,J007,,,
SNGWJ008,Gas well,Suntown,Well Station J,Gas Extraction,536366.031,6909458.81,J008,,,
SNGWJ009,Gas well,Suntown,Well Station J,Gas Extraction,536403.218,6909443.44,J009,,,
SNGWJ010,Gas well,Suntown,Well Station J,Gas Extraction,536440.06,6909429.27,J010,,,
SNGWJ011,Gas well,Suntown,Well Station J,Gas Extraction,536477.71,6909415.03,J011,,,
SNGWJ012,Gas well,Suntown,Well Station J,Gas Extraction,536514.42,6909402.03,J012,,,
SNGWJ013,Gas well,Suntown,Well Station J,Gas Extraction,536371.368,6909419.3,J013,,,
SNGWJ014,Gas well,Suntown,Well Station J,Gas Extraction,536408.208,6909404,J014,,,
SNGWJ015,Gas well,Suntown,Well Station J,Gas Extraction,536446.337,6909390.56,J015,,,
SNGWJ016,Gas well,Suntown,Well Station J,Gas Extraction,536483.439,6909377.69,J016,,,
SNGWJ017,Gas well,Suntown,Well Station J,Gas Extraction,536519.054,6909365.28,J017,,,
SNGWJ018,Gas well,Suntown,Well Station J,Gas Extraction,536378.848,6909379.15,J018,,,
SNGWJ019,Gas well,Suntown,Well Station J,Gas Extraction,536416.471,6909365.8,J019,,,
SNGWJ020,Gas well,Suntown,Well Station J,Gas Extraction,536454.206,6909350.37,J020,,,
SNGWJ021,Gas well,Suntown,Well Station J,Gas Extraction,536486.935,6909339.74,J021,,,
SNGWJ022,Gas well,Suntown,Well Station J,Gas Extraction,536384.298,6909339.98,J022,,,
SNGWJ023,Gas well,Suntown,Well Station J,Gas Extraction,536417.041,6909328.25,J023,,,
SNGWJ024,Gas well,Suntown,Well Station J,Gas Extraction,536460.035,6909311.63,J024,,,
SNGWJ025,Gas well,Suntown,Well Station J,Gas Extraction,536495.139,6909298.65,J025,,,
SNGWJ026,Gas well,Suntown,Well Station J,Gas Extraction,536386.266,6909302.28,J026,,,
SNGWJ027,Gas well,Suntown,Well Station J,Gas Extraction,536427.996,6909285.6,J027,,,
